"REF_DATE","GEO","DGUID","Maple products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Maple products expressed as syrup, total [115136]","Gallons","142","thousands","3","v47941","1.9","13204","","","","0"
"2020","Canada","2016A000011124","Maple products expressed as syrup, total [115136]","Gallons","142","thousands","3","v47941","1.9","14304","","","","0"
"2021","Canada","2016A000011124","Maple products expressed as syrup, total [115136]","Gallons","142","thousands","3","v47941","1.9","11311","","","","0"
"2022","Canada","2016A000011124","Maple products expressed as syrup, total [115136]","Gallons","142","thousands","3","v47941","1.9","17406","","","","0"
"2023","Canada","2016A000011124","Maple products expressed as syrup, total [115136]","Gallons","142","thousands","3","v47941","1.9","10422","","","","0"
"2019","Canada","2016A000011124","Gross value of maple products","Dollars","81","thousands","3","v47946","1.10","519083","","","","0"
"2020","Canada","2016A000011124","Gross value of maple products","Dollars","81","thousands","3","v47946","1.10","562389","","","","0"
"2021","Canada","2016A000011124","Gross value of maple products","Dollars","81","thousands","3","v47946","1.10","453034","","","","0"
"2022","Canada","2016A000011124","Gross value of maple products","Dollars","81","thousands","3","v47946","1.10","","..","","","0"
"2023","Canada","2016A000011124","Gross value of maple products","Dollars","81","thousands","3","v47946","1.10","","..","","","0"
